Project,Core Area,Repository,URL-Link,Accountable Engineering Manager,Exit Plan,Exit Date,Exit Plan State,Post 3/31 Exit Justification,ID
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_ElectronicOutputApi","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_ElectronicOutputApi","Krishnan, Satish","Immediately Archive","3/31/2024","Completed",,"330"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_EtlPostMstmDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_EtlPostMstmDacpac","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"331"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_EtlPostRollbackMstmDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_EtlPostRollbackMstmDacpac","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"332"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_LivePostMstmDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_LivePostMstmDacpac","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"333"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_LivePostRollbackMstmDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_LivePostRollbackMstmDacpac","Krishnan, Satish","Plan to rewrite on non .Net Open Source","3/31/2024","In Progress",,"334"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_LivePreMstmDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_LivePreMstmDacpac","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"335"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_LivePreRollbackMstmDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_LivePreRollbackMstmDacpac","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"336"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Metastorm","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Metastorm","Krishnan, Satish","Plan to refactor into .NET Open Source","12/31/2025","Not Started","<div class=""ExternalClassBAF659E74CB04CBF9C63D3A5C985A585""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><p style=""font-size&%2358;11pt;background-color&%2358;rgb(255, 255, 255);margin&%2358;0in;font-family&%2358;Calibri, sans-serif;"">The VENDOR tool that we use “Metastorm 9.6” only supports .Net Framework 4.7.2.</p><p style=""font-size&%2358;11pt;background-color&%2358;rgb(255, 255, 255);margin&%2358;0in;font-family&%2358;Calibri, sans-serif;"">&%23160;</p><p style=""font-size&%2358;11pt;background-color&%2358;rgb(255, 255, 255);margin&%2358;0in;font-family&%2358;Calibri, sans-serif;""><span style=""background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">VENDOR<span>&%23160;</span></span>doen't have any newer versions that supports .Net Framework 4.8.&%23160;</p><p style=""font-size&%2358;11pt;background-color&%2358;rgb(255, 255, 255);margin&%2358;0in;font-family&%2358;Calibri, sans-serif;"">&%23160;</p><p style=""font-size&%2358;11pt;background-color&%2358;rgb(255, 255, 255);margin&%2358;0in;font-family&%2358;Calibri, sans-serif;"">Apart from this, we are working on rewrite of PUMA/CCL/BTSY applications with a new opensource BPM tool or finding an inhouse solution. Eventually with the rewrite, we would move out of this older versions of .Net.</p><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);margin-top&%2358;14.6667px;margin-bottom&%2358;14.6667px;""><span style=""font-size&%2358;11pt;font-family&%2358;Calibri, sans-serif;"">We would like to request for an exclusion until the end of 2025.&%23160;</span></div><br style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);""><br></div></div>","337"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_Archive","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_Archive","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"338"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_ArchiveLog","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_ArchiveLog","Krishnan, Satish","Plan to refactor into .NET Open Source","3/24/2024","In Progress",,"339"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_EAttachment","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_EAttachment","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"340"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_ERSClaims","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_ERSClaims","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"341"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_ExtractDetailsCleanUp","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_ExtractDetailsCleanUp","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"342"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_InspectionSiteExport","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_InspectionSiteExport","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"343"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_Puma2EDW","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_Puma2EDW","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"344"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_Rds2Puma","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_Rds2Puma","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"345"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_SynchupProcess","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_SynchupProcess","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"346"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssis_WorkType","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssis_WorkType","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"347"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_Ssrs_RenewalRiskReviewReport","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_Ssrs_RenewalRiskReviewReport","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"348"
"Underwriting Systems","Core Insurance Platforms","Bpm_Puma_TestAutomation","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Puma_TestAutomation","Krishnan, Satish","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"349"
"Underwriting Systems","Core Insurance Platforms","Bpm_Srp_Metastorm","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm_Srp_Metastorm","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"350"
"Underwriting Systems","Core Insurance Platforms","BPM-ArchiveDatabaseSQLQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/BPM-ArchiveDatabaseSQLQuery","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"351"
"Underwriting Systems","Core Insurance Platforms","Bpm-JURYHS-JURYDB-JuryhistoryDatabase-SQLQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/Bpm-JURYHS-JURYDB-JuryhistoryDatabase-SQLQuery","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"352"
"Underwriting Systems","Core Insurance Platforms","BPM-PUMAArchiveDatabaseSQLQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/BPM-PUMAArchiveDatabaseSQLQuery","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"353"
"Underwriting Systems","Core Insurance Platforms","BPM-PUMALiveDatabaseSQLQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/BPM-PUMALiveDatabaseSQLQuery","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"354"
"Underwriting Systems","Core Insurance Platforms","BPM-UWMBPM-BPMARC-SQLQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/BPM-UWMBPM-BPMARC-SQLQuery","Krishnan, Satish","Immediately Archive","2/12/2024","Completed",,"355"
"Imaging","Enablement Platforms","BulkExtractDownloader","https://dev.azure.com/geico/Imaging/_git/BulkExtractDownloader","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started","<div class=""ExternalClassAF0EBC0BB555470B968353DB023A0817""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Application depends on FileNet.Api.dll which works only with .NET Framework<br></div></div>","356"
"Commercial Legacy","Digital Engineering","Business-CommercialBusinessService","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-CommercialBusinessService","Clower, Amy","Immediately Archive","2/7/2024","Not Started",,"357"
"Commercial Legacy","Digital Engineering","Business-GeicoBilling","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-GeicoBilling","Clower, Amy","Immediately Archive","2/7/2024","Completed",,"358"
"BoatUS","Digital Engineering","BusinessMaps","https://dev.azure.com/geico/BoatUS/_git/BusinessMaps","Masilela, Mbonisi","Plan to Sunset","2/21/2024","Not Started",,"359"
"Commercial Legacy","Digital Engineering","Business-PayPlanService","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-PayPlanService","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"360"
"Commercial Legacy","Digital Engineering","Business-PMDesignTIme","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-PMDesignTIme","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"361"
"Commercial Legacy","Digital Engineering","Business-PMReporting","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-PMReporting","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"362"
"Commercial Legacy","Digital Engineering","Business-PMRuntime","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-PMRuntime","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"363"
"Commercial Legacy","Digital Engineering","Business-PolicyService","https://dev.azure.com/geico/Commercial%20Legacy/_git/Business-PolicyService","Clower, Amy","Immediately Archive","2/7/2024","Completed",,"364"
"BoatUS","Digital Engineering","BUSLogging","https://dev.azure.com/geico/BoatUS/_git/BUSLogging","Owens, Brian","Plan to refactor into .NET Open Source","2/19/2024","Not Started",,"365"
"BoatUS","Digital Engineering","BUSPoliciesSFTPFile","https://dev.azure.com/geico/BoatUS/_git/BUSPoliciesSFTPFile","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"366"
"DOISCICD","Developer Engineering","Canary-App","https://dev.azure.com/geico/DOISCICD/_git/Canary-App","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"367"
"Cloud Automation","Infrastructure","Canary-App","https://dev.azure.com/geico/Cloud%20Automation/_git/Canary-App","Shah, Sanket",,,"Not Started",,"368"
"DOISCICD","Developer Engineering","CanaryContainers-App","https://dev.azure.com/geico/DOISCICD/_git/CanaryContainers-App","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"369"
"ASD Conversion","Core Insurance Platforms","Cancel_PcnvAutoConversionDB","https://dev.azure.com/geico/ASD%20Conversion/_git/Cancel_PcnvAutoConversionDB",,,,"Not Started",,"370"
"ASD Conversion","Core Insurance Platforms","Cancel_PcnvExtract","https://dev.azure.com/geico/ASD%20Conversion/_git/Cancel_PcnvExtract",,,,"Not Started",,"371"
"ASD Conversion","Core Insurance Platforms","Cancel_PcnvTransformMapping","https://dev.azure.com/geico/ASD%20Conversion/_git/Cancel_PcnvTransformMapping",,,,"Not Started",,"372"
"ASD Conversion","Core Insurance Platforms","Cancel_PcnvTransport","https://dev.azure.com/geico/ASD%20Conversion/_git/Cancel_PcnvTransport",,,,"Not Started",,"373"
"ASD Conversion","Core Insurance Platforms","Cancel_Rollback","https://dev.azure.com/geico/ASD%20Conversion/_git/Cancel_Rollback",,,,"Not Started",,"374"
"Imaging","Enablement Platforms","CapsKeywordsValidator","https://dev.azure.com/geico/Imaging/_git/CapsKeywordsValidator","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","7/1/2025","Not Started",,"375"
"Billing","Enterprise Engineering","CardSettlementTesting","https://dev.azure.com/geico/Billing/_git/CardSettlementTesting",,,,"Not Started",,"376"
"DSS","Data Engineering","CarfaxETL","https://dev.azure.com/geico/DSS/_git/CarfaxETL","Merritts, Ross","Plan to Sunset","6/30/2024","Not Started","<div class=""ExternalClass2D7D631000DC45CCAB17C20A4DA0A312""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Given current GDH and PACE priorities data teams will not have the bandwidth to migrate these apps by 3/31.&%23160;</span><br></div></div>","377"
"DOISCICD","Developer Engineering","CatalogJobStatusUpdater","https://dev.azure.com/geico/DOISCICD/_git/CatalogJobStatusUpdater","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"378"
"Cloud Automation","Infrastructure","CatalogJobStatusUpdater","https://dev.azure.com/geico/Cloud%20Automation/_git/CatalogJobStatusUpdater","Shah, Sanket",,,"Not Started",,"379"
"Cloud Automation","Infrastructure","CatalogSmokeTests","https://dev.azure.com/geico/Cloud%20Automation/_git/CatalogSmokeTests","Joshi, Abhijit","Immediately Archive","2/8/2024","Not Started",,"380"
"Enterprise Document Services","Enablement Platforms","CCAuditLogProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/CCAuditLogProcessor","Dakshina, Mani","Plan to refactor into .NET Open Source","2/14/2024","Completed",,"381"
"Cloud Automation","Infrastructure","CCCP.Common","https://dev.azure.com/geico/Cloud%20Automation/_git/CCCP.Common","Loehr, Gregory","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"382"
"Cloud Automation","Infrastructure","CCCP.CostCalculator","https://dev.azure.com/geico/Cloud%20Automation/_git/CCCP.CostCalculator","Ganesh, Gurumurthy","Immediately Archive","2/6/2024","Not Started",,"383"
"Cloud Automation","Infrastructure","CCCP.Nugets","https://dev.azure.com/geico/Cloud%20Automation/_git/CCCP.Nugets","Loehr, Gregory","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"384"
"Cloud Automation","Infrastructure","CCCP.ScheduleEngines","https://dev.azure.com/geico/Cloud%20Automation/_git/CCCP.ScheduleEngines","Loehr, Gregory","Immediately Archive","2/12/2024","Not Started",,"385"
"CCCP Team","Infrastructure","CCCP_Canary","https://dev.azure.com/geico/CCCP%20Team/_git/CCCP_Canary","Loehr, Gregory","Immediately Archive","2/8/2024","Not Started",,"386"
"Enterprise Security","Cyber Security","CcpaBackendApi","https://dev.azure.com/geico/Enterprise%20Security/_git/CcpaBackendApi","Boston, Paula","Plan to refactor into .NET Open Source","3/29/2024","Not Started","<div class=""ExternalClassA0480BEC570D4A249A2EF5E40F2C898C""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">N/A</div></div>","387"
"ETSArchitecture","Developer Engineering","CCTP","https://dev.azure.com/geico/ETSArchitecture/_git/CCTP","Desharaju, Krishna","Immediately Archive","1/31/2024","Completed",,"388"
"Cloud Automation","Infrastructure","CDW.Database","https://dev.azure.com/geico/Cloud%20Automation/_git/CDW.Database","Bhatt, Hiren","Immediately Archive","2/12/2024","Not Started",,"389"
"Corporate Support Systems","Enterprise Engineering","Certify_Scheduler","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/Certify_Scheduler","Duong, Till","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"390"
"Corporate Support Systems","Enterprise Engineering","Certify-Data","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/Certify-Data","Duong, Till","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"391"
"Corporate Support Systems","Enterprise Engineering","Certify-UI","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/Certify-UI","Duong, Till","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"392"
"K027- All","Infrastructure","CFA.API","https://dev.azure.com/geico/K027-%20All/_git/CFA.API","Merchant, Saadia","Plan to Sunset","2/12/2024","Not Started",,"393"
"ERS Outage Modernization","Core Claims Platforms","CheckInformation","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/CheckInformation","Nuvvala, Srinivasa","Immediately Archive","2/29/2024","Completed",,"394"
"CICD","Developer Engineering","CICD","https://dev.azure.com/geico/CICD/_git/CICD","Theimer, James","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"395"
"DirectNet Modernization","Core Claims Platforms","CICD RnD","https://dev.azure.com/geico/DirectNet%20Modernization/_git/CICD%20RnD",,,,"Not Started",,"396"
"DOISCICD","Developer Engineering","CICDtest2","https://dev.azure.com/geico/DOISCICD/_git/CICDtest2","Theimer, James","Plan to Sunset","3/31/2024","Not Started",,"397"
"DSS","Data Engineering","CIFR","https://dev.azure.com/geico/DSS/_git/CIFR","Pfleegor, Eric","Plan to Sunset","6/30/2024","Not Started","<div class=""ExternalClassB2DEBA701494471B85D44653E32C612A""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">We plan to retire these repositories but need time to review and ensure none of the code is used in any of our other apps. Given other GDH and PACE priorities we will not be able to conduct that review until after the 3/31 date.</div></div>","398"
"Imaging","Enablement Platforms","ClaimNumberValidation","https://dev.azure.com/geico/Imaging/_git/ClaimNumberValidation","Patel, Kamlesh","Immediately Archive","2/29/2024","Not Started",,"399"
"Imaging","Enablement Platforms","ClaimNumberValidationNew","https://dev.azure.com/geico/Imaging/_git/ClaimNumberValidationNew","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","1/6/2025","Not Started","<div class=""ExternalClass966DD0C65E2C41B9BFF5F4D436CD4841""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">.NET Frame is needed becasue of dependency with Filenet P8 SaaS<br></div></div>","400"
"Imaging","Enablement Platforms","ClaimNumberValidationOld","https://dev.azure.com/geico/Imaging/_git/ClaimNumberValidationOld","Patel, Kamlesh","Immediately Archive","2/29/2024","Not Started","<div class=""ExternalClass62DA7E37AF414E088D43472B10097E20""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">This is an old project that needs to be archived.</div></div>","401"
"IT Claims","Core Claims Platforms","Claims AI","https://dev.azure.com/geico/IT%20Claims/_git/Claims%20AI","Carey, Michael","Immediately Archive","2/29/2024","Completed",,"402"
"DirectNet Modernization","Core Claims Platforms","Claims_ADCWApp","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_ADCWApp","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"403"
"DirectNet Modernization","Core Claims Platforms","Claims_ADCWService","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_ADCWService","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"404"
"DirectNet Modernization","Core Claims Platforms","Claims_CheckInformation","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_CheckInformation","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"405"
"DirectNet Modernization","Core Claims Platforms","Claims_DetailedClaimsDB","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_DetailedClaimsDB","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"406"
"DirectNet Modernization","Core Claims Platforms","Claims_GCAD","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_GCAD","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"407"
"DirectNet Modernization","Core Claims Platforms","Claims_MRB","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_MRB","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"408"
"DirectNet Modernization","Core Claims Platforms","Claims_SICM","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Claims_SICM","Nuvvala, Srinivasa","Immediately Archive","3/1/2024","Completed",,"409"
"IT Claims","Core Claims Platforms","ClaimsCorrespondence","https://dev.azure.com/geico/IT%20Claims/_git/ClaimsCorrespondence","Warnick, Wes","Immediately Archive","2/29/2024","Completed",,"410"
"IT Claims","Core Claims Platforms","ClaimsCorrespondenceDB","https://dev.azure.com/geico/IT%20Claims/_git/ClaimsCorrespondenceDB","Warnick, Wes","Immediately Archive","2/29/2024","Completed",,"411"
"IT Claims","Core Claims Platforms","ClaimsCorrespondenceProcessor","https://dev.azure.com/geico/IT%20Claims/_git/ClaimsCorrespondenceProcessor","Warnick, Wes","Immediately Archive","2/29/2024","Completed",,"412"
"IT Claims","Core Claims Platforms","ClaimsFaxProcessor","https://dev.azure.com/geico/IT%20Claims/_git/ClaimsFaxProcessor",,,,"Not Started",,"413"
"Imaging","Enablement Platforms","ClaimsFaxReport","https://dev.azure.com/geico/Imaging/_git/ClaimsFaxReport","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","1/6/2025","Not Started",,"414"
"IT_Planning_Systems","Enterprise Engineering","ClaimsLegal-Azure","https://dev.azure.com/geico/IT_Planning_Systems/_git/ClaimsLegal-Azure","Ancalmo, Javier","Plan to refactor into .NET Open Source","3/26/2024","In Progress",,"415"
"IT_Planning_Systems","Enterprise Engineering","ClaimsLegal-Azure-SQL","https://dev.azure.com/geico/IT_Planning_Systems/_git/ClaimsLegal-Azure-SQL","Ancalmo, Javier","Plan to refactor into .NET Open Source","3/26/2024","In Progress",,"416"
"ERS Outage Modernization","Core Claims Platforms","ClaimsWebTool","https://dev.azure.com/geico/ERS%20Outage%20Modernization/_git/ClaimsWebTool","Nuvvala, Srinivasa","Plan to rewrite on non .Net Open Source","12/31/2026","Not Started","<div class=""ExternalClass2182D9E747CE4B0894CF38BB0EE65E96""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Long term plan to retire and rewrite with non-.NET technology.</div></div>","417"
"Imaging","Enablement Platforms","ClaimValidationWebService","https://dev.azure.com/geico/Imaging/_git/ClaimValidationWebService","Patel, Kamlesh","Immediately Archive","3/1/2024","Not Started",,"418"
"CLEAR Billing Security","Enterprise Engineering","CLEAR Billing Security","https://dev.azure.com/geico/CLEAR%20Billing%20Security/_git/CLEAR%20Billing%20Security",,,,"Not Started",,"419"
"CLEAR Policy Security","Digital Engineering","CLEAR Policy Security","https://dev.azure.com/geico/CLEAR%20Policy%20Security/_git/CLEAR%20Policy%20Security",,,,"Not Started",,"420"
"CLEAR DevOps","Digital Engineering","CLEAR-Billing-DevOps","https://dev.azure.com/geico/CLEAR%20DevOps/_git/CLEAR-Billing-DevOps","Bommadeni, Raj","Plan to Sunset","12/31/2026","Not Started",,"421"
"CLEAR DevOps","Digital Engineering","CLEAR-Billing-XMLDataFix","https://dev.azure.com/geico/CLEAR%20DevOps/_git/CLEAR-Billing-XMLDataFix","Bommadeni, Raj","Plan to Sunset","12/31/2026","Not Started",,"422"
"CLEAR DevOps","Digital Engineering","CLEAR-Policy-DevOps","https://dev.azure.com/geico/CLEAR%20DevOps/_git/CLEAR-Policy-DevOps","Bommadeni, Raj","Plan to Sunset","12/31/2026","Not Started",,"423"
"CLEAR DevOps","Digital Engineering","CLEAR-Policy-XMLDataFix","https://dev.azure.com/geico/CLEAR%20DevOps/_git/CLEAR-Policy-XMLDataFix","Bommadeni, Raj","Plan to Sunset","12/31/2026","Not Started",,"424"
"CLEAR DevOps","Digital Engineering","CLEAR-ProductStudio-XMLDataFix","https://dev.azure.com/geico/CLEAR%20DevOps/_git/CLEAR-ProductStudio-XMLDataFix","Bommadeni, Raj","Plan to Sunset","12/31/2026","Not Started",,"425"
"MSIClient","Marketing & Ads Engineering","ClientApi","https://dev.azure.com/geico/MSIClient/_git/ClientApi","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"426"
"MSIClient","Marketing & Ads Engineering","ClientBackOfficeUI","https://dev.azure.com/geico/MSIClient/_git/ClientBackOfficeUI","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"427"
"MSIClient","Marketing & Ads Engineering","ClientBatchProcessScripts","https://dev.azure.com/geico/MSIClient/_git/ClientBatchProcessScripts","Kendrick, Jennifer","Immediately Archive","3/31/2024","Completed",,"428"
"MSIClient","Marketing & Ads Engineering","ClientBusinessServices","https://dev.azure.com/geico/MSIClient/_git/ClientBusinessServices","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"429"
"MSIClient","Marketing & Ads Engineering","ClientConversion","https://dev.azure.com/geico/MSIClient/_git/ClientConversion","Kendrick, Jennifer","Immediately Archive","3/31/2024","Completed",,"430"
"MSIClient","Marketing & Ads Engineering","ClientDomain","https://dev.azure.com/geico/MSIClient/_git/ClientDomain","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"431"
"MSIClient","Marketing & Ads Engineering","ClientDTFX","https://dev.azure.com/geico/MSIClient/_git/ClientDTFX","Kendrick, Jennifer","Plan to refactor into .NET Open Source","2/6/2024","Completed",,"432"
"MSIClient","Marketing & Ads Engineering","ClientEccentricService","https://dev.azure.com/geico/MSIClient/_git/ClientEccentricService","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"433"
"MSIClient","Marketing & Ads Engineering","ClientHealthCheck","https://dev.azure.com/geico/MSIClient/_git/ClientHealthCheck","Kendrick, Jennifer","Immediately Archive","2/29/2024","Not Started",,"434"
"MSIClient","Marketing & Ads Engineering","ClientHealthCheckApi","https://dev.azure.com/geico/MSIClient/_git/ClientHealthCheckApi","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"435"
"MSIClient","Marketing & Ads Engineering","ClientHealthCheckUI","https://dev.azure.com/geico/MSIClient/_git/ClientHealthCheckUI","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"436"
"MSIClient","Marketing & Ads Engineering","ClientHLTCHK","https://dev.azure.com/geico/MSIClient/_git/ClientHLTCHK","Kendrick, Jennifer","Plan to refactor into .NET Open Source","2/6/2024","Completed",,"437"
"MSIClient","Marketing & Ads Engineering","ClientIntegrationService","https://dev.azure.com/geico/MSIClient/_git/ClientIntegrationService","Kendrick, Jennifer","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"438"
"MSIClient","Marketing & Ads Engineering","ClientMetricsReporting","https://dev.azure.com/geico/MSIClient/_git/ClientMetricsReporting","Kendrick, Jennifer","Plan to refactor into .NET Open Source","2/6/2024","Completed",,"439"
"MSIClient","Marketing & Ads Engineering","ClientMetricsStaging","https://dev.azure.com/geico/MSIClient/_git/ClientMetricsStaging","Kendrick, Jennifer","Plan to refactor into .NET Open Source","2/6/2024","Completed",,"440"
